variable,AS,FC,base
k_Q_1,0,0,0
k_Q_2,-0.383554409024572,-0.390650609367396,-0.378575200737964
k_Q_3,-0.112028664991873,-0.0974942379014039,-0.12620076398322
k_Q_4,0.174338332619627,0.211184982989544,0.151782775022838
k_Q_5,0.479509271878515,0.53480435427744,0.467180988094693
k_Q_6,0.806766837948537,0.871846808840052,0.822062107121211
k_Q_7,1.15711457022006,1.21999944821019,1.20177116765411
k_Q_8,1.5280951986806,1.57645604397793,1.58166417157362
k_Q_9,1.91384968578611,1.93830568911102,1.94306416471463
k_Q_10,2.30663422966655,2.30290197432605,2.28222658031659
k_Q_11,2.20577717881888,2.19857731164468,2.18102256535318
k_Q_12,2.06457317720453,2.05449814586393,2.04010380739731
k_Q_13,1.87730890605683,1.86516444128848,1.85389686644506
k_Q_14,1.63761380244832,1.62445646317714,1.61619226824703
k_Q_15,1.33839034253586,1.32557030392277,1.32007753965865
k_Q_16,0.971737174576773,0.960946914839948,0.95786342372992
k_Q_17,0.528864375339716,0.522193994795356,0.521002585846501
c_Q_1,0.281795019921623,0.285642824405593,0.280440077538652
c_Q_2,0.298436772936722,0.302074401905397,0.296835411886809
c_Q_3,0.315994828014413,0.319383993974407,0.314123161337958
c_Q_4,0.334514037048331,0.337612955435068,0.332346371672456
c_Q_5,0.354040974556636,0.356804126774686,0.35154970101793
c_Q_6,0.37462396247883,0.377001847471639,0.37177943979932
c_Q_7,0.396313091113028,0.398251965274559,0.393083526790952
c_Q_8,0.419160235675177,0.420601840959397,0.415511560765313
c_Q_9,0.443219067932791,0.444100348063058,0.439114807209772
c_Q_10,0.468545062316808,0.468797867055027,0.463946199532747
c_Q_11,0.495195495927549,0.494746273398454,0.490060334198435
c_Q_12,0.523229441696106,0.521998918871963,0.517513459062547
c_Q_13,0.552707754106158,0.550610605569379,0.546363454355659
c_Q_14,0.583693046728153,0.580637551928066,0.576669805610626
c_Q_15,0.616249660880052,0.612137350157131,0.608493567929788
c_Q_16,0.650443624881789,0.645168914564875,0.641897321321051
c_Q_17,0.686342629357018,0.679792439500995,0.676945163002689
lab_Q_1,0,0,0
lab_Q_2,0.907832045029448,0.909328906837527,0.906086075982838
lab_Q_3,0.906006876920245,0.907452574541754,0.905470034306329
lab_Q_4,0.904543342826424,0.905512378626284,0.905794442985534
lab_Q_5,0.903352658346858,0.903437267768283,0.906024243276795
lab_Q_6,0.90220561929714,0.901171598803938,0.904775366026601
lab_Q_7,0.900793755518552,0.898688513722495,0.901325755860444
lab_Q_8,0.89884199387896,0.895997839026025,0.896146614669375
lab_Q_9,0.896216255622723,0.893146511357626,0.890602736659782
w_Q_1,0,0,0
w_Q_2,0.643024353438433,0.668270306946072,0.621265089931609
w_Q_3,0.651028948082618,0.6749736433449,0.64119807128977
w_Q_4,0.6623853662435,0.680607114273575,0.670876691218201
w_Q_5,0.676104775218085,0.68437417516897,0.699932849010572
w_Q_6,0.68973912160258,0.685699795134653,0.712304610513221
w_Q_7,0.699934483090607,0.68437417516897,0.699932849010572
w_Q_8,0.703728415822143,0.680607114273575,0.670876691218201
w_Q_9,0.699934483090607,0.6749736433449,0.64119807128977
beta_Q_2,0.989795918367347,0.989795918367347,0.989795918367347
beta_Q_3,0.989587671803415,0.989587671803415,0.989587671803415
beta_Q_4,0.989375175309607,0.989375175309607,0.989375175309607
beta_Q_5,0.989158342152661,0.989158342152661,0.989158342152661
beta_Q_6,0.988937083829246,0.988937083829246,0.988937083829246
beta_Q_7,0.988711310029842,0.988711310029842,0.988711310029842
beta_Q_8,0.98848092860188,0.98848092860188,0.98848092860188
beta_Q_9,0.988245845512122,0.988245845512122,0.988245845512122
beta_Q_10,0.988005964808288,0.988005964808288,0.988005964808288
beta_Q_11,0.987761188579886,0.987761188579886,0.987761188579886
beta_Q_12,0.987511416918251,0.987511416918251,0.987511416918251
beta_Q_13,0.987256547875766,0.987256547875766,0.987256547875766
beta_Q_14,0.986996477424251,0.986996477424251,0.986996477424251
beta_Q_15,0.986731099412501,0.986731099412501,0.986731099412501
beta_Q_16,0.986460305522961,0.986460305522961,0.986460305522961
beta_Q_17,0.986183985227511,0.986183985227511,0.986183985227511
h_Q_2,98,98,98
h_Q_3,96.04,96.04,96.04
h_Q_4,94.1192,94.1192,94.1192
h_Q_5,92.236816,92.236816,92.236816
h_Q_6,90.39207968,90.39207968,90.39207968
h_Q_7,88.5842380864,88.5842380864,88.5842380864
h_Q_8,86.812553324672,86.812553324672,86.812553324672
h_Q_9,85.0763022581786,85.0763022581786,85.0763022581786
h_Q_10,83.374776213015,83.374776213015,83.374776213015
h_Q_11,81.7072806887547,81.7072806887547,81.7072806887547
h_Q_12,80.0731350749796,80.0731350749796,80.0731350749796
h_Q_13,78.47167237348,78.47167237348,78.47167237348
h_Q_14,76.9022389260104,76.9022389260104,76.9022389260104
h_Q_15,75.3641941474902,75.3641941474902,75.3641941474902
h_Q_16,73.8569102645404,73.8569102645404,73.8569102645404
h_Q_17,72.3797720592496,72.3797720592496,72.3797720592496
lamda_Q_1,3.15751455747224,3.11438807345464,3.17306033345692
lamda_Q_2,2.98144182723253,2.94497845557815,2.99780029708626
lamda_Q_3,2.81577987596287,2.78537003226,2.83281653658297
lamda_Q_4,2.65989399275474,2.63497769051775,2.67748759071061
lamda_Q_5,2.51318898540465,2.49325200815604,2.53123038760802
lamda_Q_6,2.37510668497963,2.35967704551966,2.39349783960517
lamda_Q_7,2.24512360956529,2.2337682752798,2.26377659027116
lamda_Q_8,2.12274877697033,2.11507064156449,2.14158490399094
lamda_Q_9,2.00752165682179,2.00315674029429,2.0264706889892
lamda_Q_10,1.89901025310297,1.89762511309895,1.91800964530142
lamda_Q_11,1.79680930876319,1.79809864767299,1.81580352973655
lamda_Q_12,1.70053862456898,1.70422307787972,1.71947853038511
lamda_Q_13,1.60984148487134,1.61566557733631,1.62868374370302
lamda_Q_14,1.52438318343604,1.53211344060819,1.54308974764753
lamda_Q_15,1.443849642926,1.45327284651249,1.46238726475901
lamda_Q_16,1.36794612203769,1.37886769837733,1.38628590947282
lamda_Q_17,1.29639600468036,1.30863853642945,1.31451301431089
pen_Q_10,0.174335537767049,0.175189740494274,0.17283046674002
pen_Q_11,0.174335537767049,0.175189740494274,0.17283046674002
pen_Q_12,0.174335537767049,0.175189740494274,0.17283046674002
pen_Q_13,0.174335537767049,0.175189740494274,0.17283046674002
pen_Q_14,0.174335537767049,0.175189740494274,0.17283046674002
pen_Q_15,0.174335537767049,0.175189740494274,0.17283046674002
pen_Q_16,0.174335537767049,0.175189740494274,0.17283046674002
pen_Q_17,0.174335537767049,0.175189740494274,0.17283046674002
P_Q_1,0.535251718542428,0.535554747286787,0.536117210769511
P_Q_2,0.529789966312404,0.530089902926718,0.530646626986149
P_Q_3,0.524273619307901,0.524570432883749,0.525121360149558
P_Q_4,0.518703304012957,0.518996963996596,0.519542037756789
P_Q_5,0.513079700266564,0.513370176489137,0.51390934074612
P_Q_6,0.5074035425536,0.507690805262072,0.508224004790078
P_Q_7,0.501675621271952,0.501959641160769,0.502486821564611
P_Q_8,0.495896783971824,0.496177532215263,0.496698639990394
P_Q_9,0.490067936562978,0.490345384848191,0.490860367442028
P_Q_10,0.484190044485512,0.484464165046228,0.484972970920712
P_Q_11,0.478264133839557,0.478534899490424,0.479037478185761
P_Q_12,0.472291292469081,0.472558676640622,0.473054978840166
P_Q_13,0.466272670994809,0.466536647768961,0.467026625365186
P_Q_14,0.460209483791073,0.460470027937283,0.460953634098774
P_Q_15,0.454103009901225,0.454360096913061,0.454837286152471
P_Q_16,0.447954593886059,0.4482082000183,0.448678928261201
P_Q_17,0.441765646599525,0.442015748905696,0.44247997356024
welf_Q_1,-18.1754098461412,-18.1574566131508,-18.3666811021974
welf_Q_2,-13.7940157158537,-13.7578801091634,-13.8980694278666
welf_Q_3,-12.6301410721522,-12.6011680287487,-12.7374232438937
welf_Q_4,-11.4843545990272,-11.4615789847198,-11.5913053424898
welf_Q_5,-10.3557226479533,-10.3391804319303,-10.4572883442518
welf_Q_6,-9.24354691672747,-9.23420109876966,-9.33543759345238
welf_Q_7,-8.14767857299938,-8.1469796318407,-8.22928879368472
welf_Q_8,-7.06868382025942,-7.07788657349586,-7.14401674426911
welf_Q_9,-6.00773360777224,-6.02723773701274,-6.08319769631431
welf_Q_10,-4.96623411299169,-4.99521922377978,-5.04705641080261
welf_Q_11,-4.24589367701199,-4.27670846062692,-4.3199532876888
welf_Q_12,-3.5527095708949,-3.58393166553655,-3.61914283607975
welf_Q_13,-2.88728298779999,-2.91742748312279,-2.94518448961968
welf_Q_14,-2.25024785019413,-2.27776333931144,-2.29866772365415
welf_Q_15,-1.64227344988699,-1.66553778537575,-1.68021449448507
welf_Q_16,-1.064067311066,-1.08138304049563,-1.09048188507709
welf_Q_17,-0.516378296621517,-0.525967750859238,-0.530164976225922
L_Q,4.7274762668319,4.71697363634166,4.67692341995186
MPL_Q,0.712713483774907,0.715879951152972,0.712583763777136
penind_Q,0.516754003408308,0.532075999006142,0.51799109333515
pi_Q,0.535251718542428,0.535554747286787,0.536117210769511
k_NQ_1,0,0,0
k_NQ_2,0.164875826523699,0.176604961175927,0.149884251737819
k_NQ_3,0.33617653292815,0.359079025447777,0.310440455508454
k_NQ_4,0.514904282073996,0.546874270286795,0.485723702822042
k_NQ_5,0.701705905919913,0.739131606296937,0.677629304754454
k_NQ_6,0.896534810093289,0.934685727809783,0.883823675573745
k_NQ_7,1.09838189909879,1.13209671733007,1.09737771566193
k_NQ_8,1.30517719765645,1.32970282208489,1.30881655441179
k_NQ_9,1.51391909013086,1.52568470074983,1.5095029375455
k_NQ_10,1.72101001586825,1.71812917285341,1.69421722364242
k_NQ_11,1.64712578832103,1.64145284641706,1.62029504789424
k_NQ_12,1.54286393926361,1.53488253670713,1.51664750107879
k_NQ_13,1.40391187430219,1.39427337253465,1.37909342640266
k_NQ_14,1.22546053868316,1.21501319387241,1.20297421557565
k_NQ_15,1.00215174669786,0.991973928489513,0.983103533241354
k_NQ_16,0.728020109788123,0.719458071304621,0.713711921860393
k_NQ_17,0.396429014589454,0.391139777271895,0.38838577005947
c_NQ_1,0.214156094407374,0.216554282968339,0.211689390431504
c_NQ_2,0.226803347119727,0.229011548404995,0.224065361674399
c_NQ_3,0.240146962997276,0.242134462687353,0.237114969910193
c_NQ_4,0.254221028184117,0.255954378128466,0.250870708119757
c_NQ_5,0.269060937970403,0.270503773369183,0.265366286360671
c_NQ_6,0.284703415636326,0.285816263479956,0.280636646825608
c_NQ_7,0.301186528363294,0.301926606995142,0.296717975958168
c_NQ_8,0.318549699819831,0.31887070952014,0.313647713247922
c_NQ_9,0.336833719008007,0.336685623532632,0.331464556308678
c_NQ_10,0.356080744923011,0.355409543973339,0.350208461811031
c_NQ_11,0.376334306567703,0.375081799206868,0.369920641835024
c_NQ_12,0.397639297766206,0.395742836872998,0.390643555088032
c_NQ_13,0.420041966260541,0.41743420415705,0.412420892491247
c_NQ_14,0.443589896448993,0.440198521929273,0.435297556469532
c_NQ_15,0.468331985125158,0.464079452186425,0.459319633275382
c_NQ_16,0.494318410160299,0.489121658599946,0.484534358634973
c_NQ_17,0.521600632599161,0.515370785881359,0.510990142864021
lab_NQ_1,0.898081850843819,0.899559939497576,0.89584294172082
lab_NQ_2,0.895927229321474,0.897221352958025,0.894658855900329
lab_NQ_3,0.893991773531277,0.894847622374193,0.894124165126767
lab_NQ_4,0.892216735885927,0.892407666497183,0.893791171976621
lab_NQ_5,0.890492027101644,0.889873970657797,0.892968935032469
lab_NQ_6,0.888674397165456,0.887226883860445,0.891016920526003
lab_NQ_7,0.886617888877216,0.884458201894163,0.887617723897166
lab_NQ_8,0.884207378350739,0.881573532820946,0.882914058371539
lab_NQ_9,0.881386296792194,0.878593074451708,0.877472434117878
w_NQ_1,0.402553995407807,0.416708513180337,0.384755474846308
w_NQ_2,0.407275980407506,0.41980205154134,0.394760689414163
w_NQ_3,0.413078119427482,0.42252084597007,0.408328976257511
w_NQ_4,0.419556243773692,0.424649216935064,0.423034293424716
w_NQ_5,0.426017449074828,0.426006690030534,0.434684713357439
w_NQ_6,0.431578948028815,0.426473216513305,0.439147206746458
w_NQ_7,0.435357690151969,0.426006690030534,0.434684713357439
w_NQ_8,0.436698070478664,0.424649216935064,0.423034293424716
w_NQ_9,0.435357690151969,0.42252084597007,0.408328976257511
beta_NQ_2,0.989795918367347,0.989795918367347,0.989795918367347
beta_NQ_3,0.989587671803415,0.989587671803415,0.989587671803415
beta_NQ_4,0.989375175309607,0.989375175309607,0.989375175309607
beta_NQ_5,0.989158342152661,0.989158342152661,0.989158342152661
beta_NQ_6,0.988937083829246,0.988937083829246,0.988937083829246
beta_NQ_7,0.988711310029842,0.988711310029842,0.988711310029842
beta_NQ_8,0.98848092860188,0.98848092860188,0.98848092860188
beta_NQ_9,0.988245845512122,0.988245845512122,0.988245845512122
beta_NQ_10,0.988005964808288,0.988005964808288,0.988005964808288
beta_NQ_11,0.987761188579886,0.987761188579886,0.987761188579886
beta_NQ_12,0.987511416918251,0.987511416918251,0.987511416918251
beta_NQ_13,0.987256547875766,0.987256547875766,0.987256547875766
beta_NQ_14,0.986996477424251,0.986996477424251,0.986996477424251
beta_NQ_15,0.986731099412501,0.986731099412501,0.986731099412501
beta_NQ_16,0.986460305522961,0.986460305522961,0.986460305522961
beta_NQ_17,0.986183985227511,0.986183985227511,0.986183985227511
h_NQ_2,98,98,98
h_NQ_3,96.04,96.04,96.04
h_NQ_4,94.1192,94.1192,94.1192
h_NQ_5,92.236816,92.236816,92.236816
h_NQ_6,90.39207968,90.39207968,90.39207968
h_NQ_7,88.5842380864,88.5842380864,88.5842380864
h_NQ_8,86.812553324672,86.812553324672,86.812553324672
h_NQ_9,85.0763022581786,85.0763022581786,85.0763022581786
h_NQ_10,83.374776213015,83.374776213015,83.374776213015
h_NQ_11,81.7072806887547,81.7072806887547,81.7072806887547
h_NQ_12,80.0731350749796,80.0731350749796,80.0731350749796
