classes,1900-1905,1905-1910,1910-1915,1915-1920,1920-1925,1925-1930,1930-1935,1935-1940,1940-1945,1945-1950,1950-1955,1955-1960,1960-1965,1965-1970,1970-1975,1975-1980,1980-1985,1985-1990,1990-1995,1995-2000,2000-2005,2005-2010,2010-2015,2015-2020,2020-2025,2025-2030,2030-2035,2035-2040,2040-2045,2045-2050,2050-2055,2055-2060,2060-2065,2065-2070,2070-2075,2075-2080,2080-2085,2085-2090,2090-2095,2095-2100,2100-2105
pop1,3462550.0,3424857.6,3312839.8,2586441.0,2632270.8,3496066.2,3414208.6,3076988.0,2610210.0,3060318.2,4001534.0,3938766.8,4062404.1666666665,4230028.2,4198169.4,3904226.8,3725592.8,3778962.2,3855759.4,3709695.4,3841829.6,3940447.4,4017412.0,3874120.6,3583735.2,3467080.8,3521143.6,3584647.4,3628198.2,3612568.8,3513945.8,3379505.8,3291594.4,3281152.8,3302765.0,3307096.4,3269042.6,3195671.8,3119092.0,3070919.0,3057912.0
pop10,2231908.25,2350401.2,2434804.2,2497928.5,2661444.8,2630314.4,2580454.2,2514318.4,2437017.6,2858256.2,3032586.4,2986816.6,2484077.1666666665,2477298.6,3281949.2,3287905.8,3138963.0,2884384.2,3339888.8,4312449.8,4311598.8,4402683.6,4532044.6,4521478.4,4305928.0,4175527.2,4218130.8,4152493.4,3935552.6,4026004.2,4155050.8,4304969.0,4221161.4,3919446.2,3739506.6,3775476.2,3841771.4,3888117.4,3875577.8,3780444.6,3700953.0
pop11,2129133.75,2081799.6,2192751.2,2301537.5,2337200.0,2504759.8,2470915.4,2396331.2,2251018.4,2408060.6,2777218.4,2925698.8,2924927.3333333335,2443775.4,2414765.4,3177077.2,3183925.4,3045380.0,2866581.8,3287795.6,4260641.2,4270338.8,4352960.0,4481411.4,4452897.6,4248279.2,4125349.2,4171399.2,4109925.0,3898069.6,3990643.2,4121299.2,4272657.8,4191646.4,3893755.0,3716621.4,3754011.0,3821461.8,3868968.6,3857719.4,3812101.0
pop12,1889390.0,1922268.8,1893405.2,2004794.5,2138400.2,2150847.4,2305953.8,2258066.2,2121686.0,2177624.6,2304812.6,2631711.8,2807830.1666666665,2821504.8,2337968.8,2309776.4,3049381.4,3066423.8,2991420.4,2794351.4,3231372.6,4201896.4,4189136.0,4276533.2,4389161.8,4372263.8,4178857.6,4065007.6,4115741.8,4060031.2,3855238.0,3950720.0,4083600.4,4236957.0,4159857.4,3867316.0,3694103.4,3733477.0,3802541.4,3851676.0,3860078.0
pop13,1654550.75,1656882.2,1680702.0,1741422.5,1838472.6,1904090.2,1918431.8,2040591.2,1945198.6,1988158.8,2026975.6,2132057.2,2463742.3333333335,2630634.8,2634539.8,2192591.8,2182668.0,2884892.8,2955308.4,2868931.4,2707157.2,3146787.6,4063260.8,4069601.6,4150380.6,4274756.2,4269870.8,4090163.4,3988287.6,4045386.4,3997556.6,3802491.4,3901951.0,4037871.4,4193965.2,4122290.4,3837194.2,3669443.4,3711575.8,3782890.4,3818466.0
pop14,1319362.75,1356901.6,1363605.6,1392860.5,1430009.4,1536825.6,1604422.8,1607867.0,1681096.8,1722795.6,1768631.6,1796816.0,1920991.3333333333,2224266.4,2365295.0,2392614.0,2002543.8,2022789.8,2718916.6,2766064.2,2720484.6,2587972.2,2994495.0,3892019.2,3891483.6,3984552.4,4118533.2,4127183.0,3965166.8,3878567.6,3943820.0,3906182.0,3723801.8,3828364.8,3968217.2,4127856.8,4063343.6,3788112.4,3627584.2,3673362.8,3723004.0
pop15,976832.25,970483.0,1002287.0,1032512.0,1073969.0,1089119.2,1175697.0,1230627.4,1203574.0,1357758.6,1409929.4,1457260.2,1515515.3333333333,1642197.0,1880792.6,2032955.0,2088256.2,1764540.4,1843671.6,2468228.8,2540181.4,2530934.8,2407523.0,2810130.8,3640821.8,3651661.6,3757238.6,3902286.6,3927959.4,3788362.8,3721348.6,3796781.8,3772269.0,3606545.0,3717720.2,3862607.4,4026795.6,3971743.2,3709731.6,3558923.6,3572674.0
pop16,588367.25,604866.2,598405.2,631240.0,663131.6,696307.0,708950.0,779253.2,791172.2,827299.2,972058.2,1021659.4,1093582.8333333333,1164072.2,1258938.6,1464494.2,1620436.4,1706511.2,1494546.2,1587007.0,2145755.4,2250042.8,2254219.0,2175473.4,2543589.0,3305646.4,3325992.8,3443164.6,3600950.2,3648353.8,3538235.6,3497430.0,3585922.0,3579090.2,3436375.4,3556543.0,3708162.2,3878435.8,3836551.4,3593287.2,3465818.0
pop17,277920.25,278599.0,290266.4,296347.5,313120.0,329430.6,350423.6,369185.4,387774.4,417134.0,472306.0,568182.8,630730.0,694257.2,751976.6,837478.8,1002444.8,1140520.2,1269716.2,1137163.4,1249945.4,1727364.8,1831704.2,1881342.8,1835031.6,2173034.2,2831410.8,2860169.0,2990605.8,3163497.8,3239755.0,3170403.4,3166278.2,3272541.4,3290907.4,3181727.0,3314883.6,3476197.2,3655326.2,3632968.6,3514896.0
pop18,85824.5,85349.6,88550.2,91987.5,96920.0,106376.6,111586.2,128750.2,125847.8,141266.8,170372.8,196535.2,258118.66666666666,295325.6,339751.6,381054.0,447011.8,552609.0,679385.6,792861.4,721030.6,846728.8,1184937.8,1301215.2,1366600.8,1367996.8,1653310.8,2157161.8,2192946.4,2329829.0,2507550.0,2611162.8,2589456.6,2631085.2,2753468.6,2802435.0,2740583.4,2887776.6,3057287.2,3243876.6,3291254.0
pop19,15930.0,16080.2,16475.4,16985.0,18196.4,20012.2,21953.0,25212.6,25927.4,27190.8,37395.0,44830.8,55776.5,78571.8,95963.4,115072.6,135124.0,170117.0,232772.2,304465.0,362910.8,343401.2,437114.6,627157.8,707929.8,770727.6,791244.4,980773.0,1278351.0,1312879.6,1424209.4,1564371.6,1663228.6,1674673.2,1744790.6,1855515.6,1919373.8,1908149.0,2044783.6,2194931.8,2302884.0
pop2,3262479.5,3305468.8,3300391.8,3258594.5,2707700.6,2661757.2,3494607.2,3306895.6,2905065.4,2676882.8,3088600.8,4030007.2,4039658.6666666665,4153921.6,4263618.8,4230164.4,3978049.6,3797446.4,3940098.0,3916583.4,3783144.2,3959064.6,4068550.8,4172120.2,4016096.8,3711608.6,3531327.4,3563926.4,3627467.0,3671072.6,3655528.6,3557017.8,3422692.4,3334858.2,3324459.8,3346114.4,3350502.2,3312520.4,3239230.0,3162728.6,3127842.0
pop20,1707.75,1719.6,1739.0,1758.0,1848.8,2094.4,2762.8,3049.2,3016.0,3318.6,4928.6,6731.4,8075.833333333333,10040.0,15504.4,19072.8,24395.2,30529.2,43795.0,64720.8,85701.2,106999.8,106421.0,148884.2,215280.6,255481.2,285018.8,299736.8,382791.6,497253.2,518102.4,576626.6,648966.6,708065.4,726894.6,782230.0,849750.4,898055.0,913368.0,1001215.0,1056571.0
pop21,105.25,123.8,85.0,89.0,80.2,90.8,62.4,55.4,0.0,55.6,0.0,0.0,807.3333333333334,1070.0,1077.8,1505.6,2173.6,3095.4,4299.2,6814.2,10594.8,14386.6,19544.8,20413.4,31241.6,47175.4,60034.8,70499.0,78244.6,101676.6,132654.8,145198.6,167043.8,196203.6,225549.6,244495.4,275334.2,312472.4,346827.6,372209.2,396125.0
pop3,3205903.75,3233706.0,3302568.8,3376121.0,3378992.4,2779144.0,2686918.6,3418535.4,3133823.0,3001836.0,2733558.6,3121953.8,4131592.1666666665,4130620.2,4212442.4,4309423.0,4272149.4,4019049.0,3943187.0,3991434.2,4008576.4,3887708.4,4052131.8,4176080.6,4254386.0,4157592.2,3847848.2,3661400.2,3694068.2,3757669.2,3801335.4,3785843.0,3687376.4,3553099.2,3465308.0,3454953.8,3476651.8,3481085.0,3443150.4,3369907.4,3321190.0
pop4,3263774.25,3174169.2,3219259.8,3331544.5,3427945.4,3377675.6,2741496.4,2601076.0,3203435.6,3192810.6,3033436.4,2758912.4,3188882.6666666665,4211379.2,4168750.6,4261089.8,4349668.4,4335862.8,4171179.2,4001734.0,4056676.8,4130299.4,3959250.2,4098218.0,4195864.2,4333317.6,4241794.2,3931546.4,3745398.4,3778220.0,3841943.6,3885713.0,3870322.6,3771978.0,3637829.4,3550159.4,3539903.8,3561678.8,3566186.6,3528332.2,3487724.0
pop5,3163134.5,3162685.6,3103190.4,3030155.5,3141336.2,3382928.8,3324088.8,2655198.4,2273084.6,3177190.8,3212033.2,3055867.8,2821923.5,3281339.2,4262532.8,4221121.8,4235748.4,4309593.0,4383786.0,4098809.8,3926596.2,4029144.8,3977367.8,3768493.4,3856971.4,3981741.6,4128272.4,4038729.6,3729282.8,3543719.4,3576841.2,3640809.2,3684820.4,3669697.2,3571651.6,3437787.6,3350354.2,3340266.4,3362178.8,3366820.2,3351388.0
pop6,3100328.75,3066199.4,3065315.0,2897575.0,2862817.6,3325958.0,3439615.0,3241829.4,2167849.6,2409711.2,3239897.4,3228280.6,3138252.0,2934515.6,3364952.6,4320903.2,4233764.6,4251136.6,4412891.4,4345110.2,4076736.8,3942115.4,3971468.6,3904069.6,3681624.8,3769671.0,3896432.8,4043744.6,3954909.8,3646406.0,3461516.8,3494980.2,3559228.0,3603518.4,3588706.4,3491005.8,3357478.2,3270312.0,3260418.6,3282485.2,3291290.0
pop7,2770833.0,2963859.6,2974238.4,2881693.5,2768406.6,2908803.8,3303118.2,3321189.2,2700196.4,2416725.2,2460281.0,3249336.8,3305165.1666666665,3219600.4,2989055.4,3393888.0,4339720.8,4272093.8,4397886.2,4476457.2,4412535.6,4192926.6,4049047.8,4091039.2,4019874.2,3796573.6,3884211.2,4010827.8,4158555.2,4070543.6,3763135.0,3579032.4,3612890.2,3677465.0,3722082.0,3707629.4,3610336.6,3477201.6,3390350.0,3380681.2,3393851.0
pop8,2699702.25,2669043.6,2860614.6,2831134.5,2768853.8,2770678.8,2860295.0,3166978.6,2836524.6,3000588.8,2502152.8,2461977.8,3299571.1666666665,3370673.2,3249443.2,2974164.6,3372653.0,4325712.6,4359303.4,4418684.6,4513815.4,4498077.8,4292029.8,4164847.2,4200955.4,4129141.4,3906460.4,3994482.8,4121676.4,4269925.8,4182927.8,3876872.8,3693755.0,3728112.8,3793094.4,3838119.6,3824120.6,3727335.8,3594696.8,3508247.2,3493352.0
pop9,2511232.5,2570109.0,2561480.8,2704385.0,2737583.4,2706607.0,2674940.2,2706326.8,2805771.4,3045162.8,3043655.0,2484942.0,2489190.3333333335,3328895.8,3365912.4,3207416.6,2943300.4,3335605.2,4365697.6,4346874.0,4414659.4,4547418.8,4536022.2,4332521.0,4196323.8,4235357.4,4166611.2,3946246.8,4035262.8,4163222.0,4312161.2,4226484.2,3922214.6,3740396.0,3775416.8,3840936.8,3886505.6,3873105.0,3776998.0,3645022.2,3579732.0
