cohort,pop
1900-1905,38610971.25
1905-1910,38895573.6
1910-1915,39262975.8
1915-1920,38907107.0
1920-1925,38998699.8
1925-1930,40379887.6
1930-1935,41190901.0
1935-1940,40848324.8
1940-1945,37609289.8
1945-1950,39910145.8
1950-1955,42292363.8
1955-1960,44098345.4
1960-1965,46640814.666666664
1965-1970,49343987.2
1970-1975,51453400.8
1975-1980,53033996.4
1980-1985,54327971.0
1985-1990,55697254.6
1990-1995,58270090.2
1995-2000,59696235.8
2000-2005,61381944.4
2005-2010,63556740.6
2010-2015,65296641.8
2015-2020,66787171.2
2020-2025,67536178.6
2025-2030,68209186.2
2030-2035,68739094.0
2035-2040,69095589.4
2040-2045,69261341.6
2045-2050,69263259.2
2050-2055,69133499.8
2055-2060,68873894.8
2060-2065,68541231.2
2065-2070,68242767.4
2070-2075,68032321.2
2075-2080,67868917.4
2080-2085,67690202.4
2085-2090,67472618.0
2090-2095,67202424.6
2095-2100,66858648.4
2100-2105,66619105.0
