mod,def,variable,value
age_60,0.14,k_Q_1,0
age_60,0.14,k_Q_2,-0.193678421088587
age_60,0.14,k_Q_3,-0.0845062314694721
age_60,0.14,k_Q_4,0.0301909668930932
age_60,0.14,k_Q_5,0.151142416947681
age_60,0.14,k_Q_6,0.277011701208715
age_60,0.14,k_Q_7,0.404200893482446
age_60,0.14,k_Q_8,0.527875303697672
age_60,0.14,k_Q_9,0.643623245260483
age_60,0.14,k_Q_10,0.748707101447548
age_60,0.14,k_Q_11,0.753141271751847
age_60,0.14,k_Q_12,0.737971913420078
age_60,0.14,k_Q_13,0.699714227871314
age_60,0.14,k_Q_14,0.634407066013791
age_60,0.14,k_Q_15,0.537494075084727
age_60,0.14,k_Q_16,0.403717439536943
age_60,0.14,k_Q_17,0.226952876617534
age_60,0.14,c_Q_1,0.145398495735425
age_60,0.14,c_Q_2,0.160299363296746
age_60,0.14,c_Q_3,0.176084912202276
age_60,0.14,c_Q_4,0.192694214783943
age_60,0.14,c_Q_5,0.210043043327896
age_60,0.14,c_Q_6,0.22802222071764
age_60,0.14,c_Q_7,0.246496855526854
age_60,0.14,c_Q_8,0.265306745725982
age_60,0.14,c_Q_9,0.284268011053185
age_60,0.14,c_Q_10,0.303175266778756
age_60,0.14,c_Q_11,0.321809109099323
age_60,0.14,c_Q_12,0.3399445674964
age_60,0.14,c_Q_13,0.357363055924016
age_60,0.14,c_Q_14,0.373864918166375
age_60,0.14,c_Q_15,0.389235777867758
age_60,0.14,c_Q_16,0.403280037125615
age_60,0.14,c_Q_17,0.415830578113575
age_60,0.14,lab_Q_1,0
age_60,0.14,lab_Q_2,0.942467708110844
age_60,0.14,lab_Q_3,0.93795994058818
age_60,0.14,lab_Q_4,0.933535458140132
age_60,0.14,lab_Q_5,0.928920533761147
age_60,0.14,lab_Q_6,0.923781133358204
age_60,0.14,lab_Q_7,0.917908855845227
age_60,0.14,lab_Q_8,0.911364761976953
age_60,0.14,lab_Q_9,0.904504092979993
age_60,0.14,w_Q_1,0
age_60,0.14,w_Q_2,0.539960391376504
age_60,0.14,w_Q_3,0.543358877119661
age_60,0.14,w_Q_4,0.547653081782618
age_60,0.14,w_Q_5,0.548782455843793
age_60,0.14,w_Q_6,0.543011408448063
age_60,0.14,w_Q_7,0.529137045664381
age_60,0.14,w_Q_8,0.509256607338512
age_60,0.14,w_Q_9,0.48748860602338
age_60,0.14,beta_Q_2,0.989753617229698
age_60,0.14,beta_Q_3,0.984361894394715
age_60,0.14,beta_Q_4,0.978788973572861
age_60,0.14,beta_Q_5,0.973035557273522
age_60,0.14,beta_Q_6,0.967102653537423
age_60,0.14,beta_Q_7,0.960993810572407
age_60,0.14,beta_Q_8,0.954716954885513
age_60,0.14,beta_Q_9,0.948284865228467
age_60,0.14,beta_Q_10,0.94171163887477
age_60,0.14,beta_Q_11,0.9350312346418
age_60,0.14,beta_Q_12,0.928290551632628
age_60,0.14,beta_Q_13,0.921555708542743
age_60,0.14,beta_Q_14,0.914906817972013
age_60,0.14,beta_Q_15,0.908272842835092
age_60,0.14,beta_Q_16,0.901696177956032
age_60,0.14,beta_Q_17,0.895228331912287
age_60,0.14,h_Q_2,98.0827032159941
age_60,0.14,h_Q_3,96.220624954787
age_60,0.14,h_Q_4,94.4106628462572
age_60,0.14,h_Q_5,92.6596752561672
age_60,0.14,h_Q_6,90.9686458562094
age_60,0.14,h_Q_7,89.3426280216676
age_60,0.14,h_Q_8,87.7914421684006
age_60,0.14,h_Q_9,86.3268464086907
age_60,0.14,h_Q_10,84.9549268094228
age_60,0.14,h_Q_11,83.7056449568323
age_60,0.14,h_Q_12,82.6111092501721
age_60,0.14,h_Q_13,81.7115191335906
age_60,0.14,h_Q_14,81.0464174336069
age_60,0.14,h_Q_15,80.4924908018011
age_60,0.14,h_Q_16,80.0659683003875
age_60,0.14,h_Q_17,79.7864651375081
age_60,0.14,lamda_Q_1,16.3822061830451
age_60,0.14,lamda_Q_2,14.151893826984
age_60,0.14,lamda_Q_3,12.292183645509
age_60,0.14,lamda_Q_4,10.7376499936075
age_60,0.14,lamda_Q_5,9.43517162658592
age_60,0.14,lamda_Q_6,8.34154508119154
age_60,0.14,lamda_Q_7,7.42155965073954
age_60,0.14,lamda_Q_8,6.64645117666877
age_60,0.14,lamda_Q_9,5.99266873672681
age_60,0.14,lamda_Q_10,5.44091078870013
age_60,0.14,lamda_Q_11,4.97524827895978
age_60,0.14,lamda_Q_12,4.58247495184537
age_60,0.14,lamda_Q_13,4.25155476625723
age_60,0.14,lamda_Q_14,3.97319779259766
age_60,0.14,lamda_Q_15,3.740185379164
age_60,0.14,lamda_Q_16,3.54651802184372
age_60,0.14,lamda_Q_17,3.38717491734476
age_60,0.14,pen_Q_10,0.157278436589852
age_60,0.14,pen_Q_11,0.157278436589852
age_60,0.14,pen_Q_12,0.157278436589852
age_60,0.14,pen_Q_13,0.157278436589852
age_60,0.14,pen_Q_14,0.157278436589852
age_60,0.14,pen_Q_15,0.157278436589852
age_60,0.14,pen_Q_16,0.157278436589852
age_60,0.14,pen_Q_17,0.157278436589852
age_60,0.14,P_Q_1,0.3
age_60,0.14,P_Q_2,0.296926085168909
age_60,0.14,P_Q_3,0.292282723692074
age_60,0.14,P_Q_4,0.286083107115645
age_60,0.14,P_Q_5,0.278369035558813
age_60,0.14,P_Q_6,0.269211432951581
age_60,0.14,P_Q_7,0.258710520801798
age_60,0.14,P_Q_8,0.246995320616738
age_60,0.14,P_Q_9,0.234221924323105
age_60,0.14,P_Q_10,0.220569512214714
age_60,0.14,P_Q_11,0.206239383330463
age_60,0.14,P_Q_12,0.191450070920209
age_60,0.14,P_Q_13,0.176431905757432
age_60,0.14,P_Q_14,0.16141875348527
age_60,0.14,P_Q_15,0.146612270114963
age_60,0.14,P_Q_16,0.132199723604119
age_60,0.14,P_Q_17,0.118348938041381
age_60,0.14,welf_Q_1,-21.8243083147254
age_60,0.14,welf_Q_2,-17.5924642793018
age_60,0.14,welf_Q_3,-15.8960852803347
age_60,0.14,welf_Q_4,-14.321531453301
age_60,0.14,welf_Q_5,-12.8536420344859
age_60,0.14,welf_Q_6,-11.4787358047685
age_60,0.14,welf_Q_7,-10.1841735275971
age_60,0.14,welf_Q_8,-8.95730234094182
age_60,0.14,welf_Q_9,-7.78419801971009
age_60,0.14,welf_Q_10,-6.64869752264102
age_60,0.14,welf_Q_11,-5.86038454661151
age_60,0.14,welf_Q_12,-5.09370803286932
age_60,0.14,welf_Q_13,-4.33459687709641
age_60,0.14,welf_Q_14,-3.56702860456319
age_60,0.14,welf_Q_15,-2.77309818226262
age_60,0.14,welf_Q_16,-1.93167240516609
age_60,0.14,welf_Q_17,-1.0174773658255
age_60,0.14,a_Q_1,1.26144925297404
age_60,0.14,a_Q_2,1.26122837303959
age_60,0.14,a_Q_3,1.26916648611806
age_60,0.14,a_Q_4,1.27919680102088
age_60,0.14,a_Q_5,1.28183476971725
age_60,0.14,a_Q_6,1.26835487594375
age_60,0.14,a_Q_7,1.23594742480458
age_60,0.14,a_Q_8,1.18951110598288
age_60,0.14,a_Q_9,1.13866585636555
age_60,0.14,ih_Q_1,0.00727607185415574
age_60,0.14,ih_Q_2,0.00827032159941545
age_60,0.14,ih_Q_3,0.00995758031127473
age_60,0.14,ih_Q_4,0.0114450390565932
age_60,0.14,ih_Q_5,0.0137225666835138
age_60,0.14,ih_Q_6,0.0162164105165572
age_60,0.14,ih_Q_7,0.0193355082582416
age_60,0.14,ih_Q_8,0.0235666707166332
age_60,0.14,ih_Q_9,0.0291233083658123
age_60,0.14,ih_Q_10,0.0354617328905929
age_60,0.14,ih_Q_11,0.0449816683597878
age_60,0.14,ih_Q_12,0.0579577192476525
age_60,0.14,ih_Q_13,0.0752632068421897
age_60,0.14,ih_Q_14,0.0969128682688122
age_60,0.14,ih_Q_15,0.106700171686629
age_60,0.14,ih_Q_16,0.118332731462245
