mod,period,variable,value
age_60,1,beta_Q_2,0.973436404874763
age_60,1,beta_Q_3,0.970539000001623
age_60,1,beta_Q_4,0.965744200006298
age_60,1,beta_Q_5,0.961176300029427
age_60,1,beta_Q_6,0.955116300619925
age_60,1,beta_Q_7,0.940183999984989
age_60,1,beta_Q_8,0.909499218945487
age_60,1,beta_Q_9,0.85988771100122
age_60,1,beta_Q_10,0.781753818094209
age_60,1,beta_Q_11,0.658329466557867
age_60,1,beta_Q_12,0.512809028093422
age_60,1,beta_Q_13,0.344799901709008
age_60,1,beta_Q_14,0.210284003873888
age_60,1,beta_Q_15,0.118657324974081
age_60,1,beta_Q_16,0.0591105026749442
age_60,1,beta_Q_17,0.031131000636637
age_60,1,h_Q_2,37.64549986
age_60,1,h_Q_3,33.94317912
age_60,1,h_Q_4,29.19213681
age_60,1,h_Q_5,25.75746258
age_60,1,h_Q_6,22.27980314
age_60,1,h_Q_7,16.7179349964
age_60,1,h_Q_8,11.049626084672
age_60,1,h_Q_9,7.13713214817855
age_60,1,h_Q_10,4.58198126301498
age_60,1,h_Q_11,2.92679557875468
age_60,1,h_Q_12,2.05258307497959
age_60,1,h_Q_13,1.52625129347999
age_60,1,h_Q_14,1.26627752601038
age_60,1,h_Q_15,1.13462803749019
age_60,1,h_Q_16,1.06282406454038
age_60,1,h_Q_17,1.03213127924955
age_60,1,P_Q_1,0.2522852124
age_60,1,P_Q_2,0.0592788505108232
age_60,1,P_Q_3,0.0529788315263616
age_60,1,P_Q_4,0.0516187991809102
age_60,1,P_Q_5,0.0480152225133509
age_60,1,P_Q_6,0.0426744931906979
age_60,1,P_Q_7,0.0407094252183056
age_60,1,P_Q_8,0.0361254806344776
age_60,1,P_Q_9,0.0316353121871109
age_60,1,P_Q_10,0.0252264559898656
age_60,1,P_Q_11,0.0186772111554823
age_60,1,P_Q_12,0.011249689408626
age_60,1,P_Q_13,0.00531388564243529
age_60,1,P_Q_14,0.00164097968469545
age_60,1,P_Q_15,0.000304585058292062
age_60,1,P_Q_16,3.2652531888111e-05
age_60,1,P_Q_17,2.01287823792251e-06
age_60,1,L_Q,0.751657247757595
age_60,1,beta_NQ_2,0.939491000019456
age_60,1,beta_NQ_3,0.931619200148016
age_60,1,beta_NQ_4,0.925826700715022
age_60,1,beta_NQ_5,0.916842509905461
age_60,1,beta_NQ_6,0.905218099976406
age_60,1,beta_NQ_7,0.883457900039542
age_60,1,beta_NQ_8,0.843435236949881
age_60,1,beta_NQ_9,0.785066520379141
age_60,1,beta_NQ_10,0.701200501908016
age_60,1,beta_NQ_11,0.582111699569906
age_60,1,beta_NQ_12,0.433853272111351
age_60,1,beta_NQ_13,0.278824341886696
age_60,1,beta_NQ_14,0.164751615202972
age_60,1,beta_NQ_15,0.0914522727890728
age_60,1,beta_NQ_16,0.0448453010253704
age_60,1,beta_NQ_17,0.0234374042852502
age_60,1,h_NQ_2,16.52646714
age_60,1,h_NQ_3,14.62398802
age_60,1,h_NQ_4,13.48194027
age_60,1,h_NQ_5,12.02537354
age_60,1,h_NQ_6,10.5505376
age_60,1,h_NQ_7,8.58059018639999
age_60,1,h_NQ_8,6.387123554672
age_60,1,h_NQ_9,4.65260184817856
age_60,1,h_NQ_10,3.34672581301498
age_60,1,h_NQ_11,2.39298395875468
age_60,1,h_NQ_12,1.76632258497959
age_60,1,h_NQ_13,1.38662464347999
age_60,1,h_NQ_14,1.19724704601039
age_60,1,h_NQ_15,1.10064773749018
age_60,1,h_NQ_16,1.04695082454037
age_60,1,h_NQ_17,1.02399989924956
age_60,1,P_NQ_1,0.5886654956
age_60,1,P_NQ_2,0.138317317858587
age_60,1,P_NQ_3,0.123617274894843
age_60,1,P_NQ_4,0.120443865422124
age_60,1,P_NQ_5,0.112035520531152
age_60,1,P_NQ_6,0.0995738157782948
age_60,1,P_NQ_7,0.0949886588427129
age_60,1,P_NQ_8,0.0842927891471142
age_60,1,P_NQ_9,0.0738157284365917
age_60,1,P_NQ_10,0.0588617313096862
age_60,1,P_NQ_11,0.0435801576961252
age_60,1,P_NQ_12,0.026249274286794
age_60,1,P_NQ_13,0.0123990668323489
age_60,1,P_NQ_14,0.00382895393095584
age_60,1,P_NQ_15,0.000710697469347821
age_60,1,P_NQ_16,7.6189241072e-05
age_60,1,P_NQ_17,4.69538255498669e-06
age_60,1,L_NQ,1.32486257678101
age_60,1,pi_Q,0.3
age_60,1,pi_NQ,0.7
age_60,1,y,0.287537546460131
age_60,1,nbar,5.37545885915072
age_60,1,Ptot,2.25923033237186
age_60,1,Pret,0.208158238498408
age_60,1,H,102.937051194269
age_60,1,cCheck,-1.33226762955019e-15
age_60,1,shareq,0.3
age_60,1,A,0.088593872
age_60,1,A_Q,2
age_60,1,xpop,0.840950708
age_60,1,h_Q_1,100
age_60,1,mig_Q_2,-0.237659925
age_60,1,med_Q_2,-60.35450014
age_60,1,mig_Q_3,-0.24086812
age_60,1,med_Q_3,-62.09682088
age_60,1,mig_Q_4,-0.23910608
age_60,1,med_Q_4,-64.92706319
age_60,1,mig_Q_5,-0.239557717
age_60,1,med_Q_5,-66.47935342
age_60,1,mig_Q_6,-0.241717051
age_60,1,med_Q_6,-68.11227654
age_60,1,mig_Q_7,-0.240471711
age_60,1,med_Q_7,-71.86630309
age_60,1,mig_Q_8,-0.24181671
age_60,1,med_Q_8,-75.76292724
age_60,1,mig_Q_9,-0.243039903
age_60,1,med_Q_9,-77.93917011
age_60,1,mig_Q_10,-0.246154295
age_60,1,med_Q_10,-78.79279495
age_60,1,mig_Q_11,-0.249382162
age_60,1,med_Q_11,-78.78048511
age_60,1,mig_Q_12,-0.253462002
age_60,1,med_Q_12,-78.020552
age_60,1,mig_Q_13,-0.256024465
age_60,1,med_Q_13,-76.94542108
age_60,1,mig_Q_14,-0.256299052
age_60,1,med_Q_14,-75.6359614
age_60,1,mig_Q_15,-0.254212866
age_60,1,med_Q_15,-74.22956611
age_60,1,mig_Q_16,-0.25103871
age_60,1,med_Q_16,-72.7940862
age_60,1,mig_Q_17,-0.247600544
age_60,1,med_Q_17,-71.34764078
age_60,1,h_NQ_1,100
age_60,1,mig_NQ_2,-0.554539825
age_60,1,med_NQ_2,-81.47353286
age_60,1,mig_NQ_3,-0.562025612
age_60,1,med_NQ_3,-81.41601198
age_60,1,mig_NQ_4,-0.557914186
age_60,1,med_NQ_4,-80.63725973
age_60,1,mig_NQ_5,-0.558968005
age_60,1,med_NQ_5,-80.21144246
age_60,1,mig_NQ_6,-0.564006454
age_60,1,med_NQ_6,-79.84154208
age_60,1,mig_NQ_7,-0.561100659
age_60,1,med_NQ_7,-80.0036479
age_60,1,mig_NQ_8,-0.564238989
age_60,1,med_NQ_8,-80.42542977
age_60,1,mig_NQ_9,-0.567093107
age_60,1,med_NQ_9,-80.42370041
age_60,1,mig_NQ_10,-0.574360021
age_60,1,med_NQ_10,-80.0280504
age_60,1,mig_NQ_11,-0.581891713
age_60,1,med_NQ_11,-79.31429673
age_60,1,mig_NQ_12,-0.591411339
age_60,1,med_NQ_12,-78.30681249
age_60,1,mig_NQ_13,-0.597390418
age_60,1,med_NQ_13,-77.08504773
age_60,1,mig_NQ_14,-0.59803112
age_60,1,med_NQ_14,-75.70499188
age_60,1,mig_NQ_15,-0.593163355
age_60,1,med_NQ_15,-74.26354641
age_60,1,mig_NQ_16,-0.58575699
age_60,1,med_NQ_16,-72.80995944
age_60,1,mig_NQ_17,-0.577734604
age_60,1,med_NQ_17,-71.35577216
age_60,2,beta_Q_2,0.974250899998791
age_60,2,beta_Q_3,0.971050702827941
age_60,2,beta_Q_4,0.966497808579101
age_60,2,beta_Q_5,0.96060350176663
age_60,2,beta_Q_6,0.953428799997687
age_60,2,beta_Q_7,0.938990908940442
age_60,2,beta_Q_8,0.907364226102163
age_60,2,beta_Q_9,0.855505422354817
age_60,2,beta_Q_10,0.777190539425623
age_60,2,beta_Q_11,0.653229715740918
age_60,2,beta_Q_12,0.507151509662807
age_60,2,beta_Q_13,0.340206902132967
age_60,2,beta_Q_14,0.202952405585477
age_60,2,beta_Q_15,0.104123564627982
age_60,2,beta_Q_16,0.0518962985273525
age_60,2,beta_Q_17,0.0269183031357435
age_60,2,h_Q_2,38.83630884
age_60,2,h_Q_3,34.5431495778
age_60,2,h_Q_4,29.8487860516
age_60,2,h_Q_5,25.3829654958
age_60,2,h_Q_6,21.4724980234
age_60,2,h_Q_7,16.3909974132
age_60,2,h_Q_8,10.794962634472
age_60,2,h_Q_9,6.92066906697856
age_60,2,h_Q_10,4.48813897521498
age_60,2,h_Q_11,2.88375330475468
age_60,2,h_Q_12,2.02902109317958
age_60,2,h_Q_13,1.51562664248
age_60,2,h_Q_14,1.25463021261039
age_60,2,h_Q_15,1.11622528649018
age_60,2,h_Q_16,1.05473693974038
age_60,2,h_Q_17,1.02766294224957
age_60,2,P_Q_1,0.2512048092
age_60,2,P_Q_2,0.058626292161722
age_60,2,P_Q_3,0.05666953529602
age_60,2,P_Q_4,0.0510325992696945
age_60,2,P_Q_5,0.0491409534086693
age_60,2,P_Q_6,0.0449400987003943
age_60,2,P_Q_7,0.0398043877053625
age_60,2,P_Q_8,0.0367541314397686
age_60,2,P_Q_9,0.0316798898515999
age_60,2,P_Q_10,0.0259442070888762
age_60,2,P_Q_11,0.0185558133149537
